food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live pig,4761,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/1/2016,NA
Livestock / Poultry,Live pig,242,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/1/2016,NA
Livestock / Poultry,Live cattle,48,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/1/2016,NA
Livestock / Poultry,Live chicken,8550,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/1/2016,NA
Marine fish,-,1832,(picul),(Yesterday),-,Fish Marketing Organization,12/1/2016,NA
Freshwater fish,-,2897,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,12/1/2016,NA
Vegetables,-,5973,(picul),(Yesterday),-,Vegetable Marketing Organization,12/1/2016,NA
Vegetables,-,11385,(picul),(Yesterday),-,Government Wholesale Markets,12/1/2016,NA
Eggs,-,2610000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,12/1/2016,NA
Livestock / Poultry,Live pig,4335,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/1/2016,NA
Livestock / Poultry,Live pig,255,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/1/2016,NA
Livestock / Poultry,Live cattle,25,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/1/2016,NA
Livestock / Poultry,Live chicken,9076,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/1/2016,NA
Marine fish,-,1704,(picul),(Yesterday),-,Fish Marketing Organization,13/1/2016,NA
Freshwater fish,-,2843,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,13/1/2016,NA
Vegetables,-,5736,(picul),(Yesterday),-,Vegetable Marketing Organization,13/1/2016,NA
Vegetables,-,10973,(picul),(Yesterday),-,Government Wholesale Markets,13/1/2016,NA
Eggs,-,3920000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,13/1/2016,NA
Livestock / Poultry,Live pig,4626,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/1/2016,NA
Livestock / Poultry,Live pig,221,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/1/2016,NA
Livestock / Poultry,Live cattle,66,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/1/2016,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,14/1/2016,NA
Livestock / Poultry,Live chicken,10887,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,14/1/2016,NA
Marine fish,-,1455,(picul),(Yesterday),-,Fish Marketing Organization,14/1/2016,NA
Freshwater fish,-,2881,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,14/1/2016,NA
Vegetables,-,5268,(picul),(Yesterday),-,Vegetable Marketing Organization,14/1/2016,NA
Vegetables,-,11402,(picul),(Yesterday),-,Government Wholesale Markets,14/1/2016,NA
Eggs,-,4480000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,14/1/2016,NA
Livestock / Poultry,Live pig,4454,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,15/1/2016,NA
Livestock / Poultry,Live pig,229,(head),(Yesterday),Local,Food and Environmental Hygiene Department,15/1/2016,NA
Livestock / Poultry,Live cattle,52,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,15/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,15/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,15/1/2016,NA
Livestock / Poultry,Live chicken,8875,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,15/1/2016,NA
Marine fish,-,1604,(picul),(Yesterday),-,Fish Marketing Organization,15/1/2016,NA
Freshwater fish,-,3034,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,15/1/2016,NA
Vegetables,-,5763,(picul),(Yesterday),-,Vegetable Marketing Organization,15/1/2016,NA
Vegetables,-,10907,(picul),(Yesterday),-,Government Wholesale Markets,15/1/2016,NA
Eggs,-,3500000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,15/1/2016,NA
Livestock / Poultry,Live pig,4094,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,16/1/2016,NA
Livestock / Poultry,Live pig,228,(head),(Yesterday),Local,Food and Environmental Hygiene Department,16/1/2016,NA
Livestock / Poultry,Live cattle,67,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,16/1/2016,NA
