date_morning,food_category,food_item,unit,food_origin,provided_by,price_morning
2016-01-02,Vegetables,Water Cress,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.7
2016-01-02,Vegetables,Broccoli,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,7.9
2016-01-02,Vegetables,Green Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.1
2016-01-02,Vegetables,Tomato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2016-01-02,Vegetables,Pea Shoot,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,25.5
2016-01-02,Eggs,Brown-shelled egg (medium) Mainland,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.69
2016-01-02,Eggs,Brown-shelled egg (medium) USA,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.86
2016-01-03,Livestock / Poultry,Live pig,($ / Picul),-,Slaughterhouses,1542
2016-01-03,Livestock / Poultry,Live cattle,($ / Picul),-,Ng Fung Hong,4229
2016-01-03,Livestock / Poultry,Live chicken,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,41.5
2016-01-03,Marine fish,Golden thread,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,52
2016-01-03,Marine fish,Horse head,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,38
2016-01-03,Marine fish,Yellow croaker,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31
2016-01-03,Marine fish,Big eyes,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,52
2016-01-03,Marine fish,Scads,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,15
2016-01-03,Marine fish,Breams,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,53
2016-01-03,Marine fish,Hairtail,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,38
2016-01-03,Marine fish,Mackerel,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,48
2016-01-03,Marine fish,Croakers,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,16
2016-01-03,Marine fish,Filefish,($ / Catty),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31
2016-01-03,Freshwater fish,Grass carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16.2
2016-01-03,Freshwater fish,Big head,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,16.2
2016-01-03,Freshwater fish,Mud carp,($ / Catty),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,18.5
2016-01-03,Vegetables,Flowering Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.4
2016-01-03,Vegetables,White Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,3.9
2016-01-03,Vegetables,Chinese Lettuce,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.4
2016-01-03,Vegetables,Chrysanthemum Garland,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,6.8
2016-01-03,Vegetables,Chinese Kale,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2016-01-03,Vegetables,European Celery,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.2
2016-01-03,Vegetables,Potato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,3.9
2016-01-03,Vegetables,Spinach,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,6.8
2016-01-03,Vegetables,Water Cress,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.7
2016-01-03,Vegetables,Broccoli,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.5
2016-01-03,Vegetables,Green Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.1
2016-01-03,Vegetables,Tomato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2016-01-03,Vegetables,Pea Shoot,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,26.5
2016-01-03,Eggs,Brown-shelled egg (medium) Mainland,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.69
2016-01-03,Eggs,Brown-shelled egg (medium) USA,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.86
2016-01-04,Livestock / Poultry,Live pig,($ / Picul),-,Slaughterhouses,1506
2016-01-04,Livestock / Poultry,Live cattle,($ / Picul),-,Ng Fung Hong,4265
