date_morning,food_category,food_item,price_morning,unit,food_origin,provided_by
2016-01-02,Marine fish,Filefish,32,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Freshwater fish,Grass carp,17.1,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-02,Freshwater fish,Big head,16.8,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-02,Freshwater fish,Mud carp,18.3,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-02,Vegetables,Flowering Cabbage,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,White Cabbage,4.6,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Chinese Lettuce,4.4,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Chrysanthemum Garland,7.1,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Chinese Kale,5.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,European Celery,8.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Potato,3.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Spinach,6.6,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Water Cress,5.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Broccoli,7.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Green Cabbage,5.1,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Tomato,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Vegetables,Pea Shoot,25.5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-02,Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-02,Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-03,Livestock / Poultry,Live pig,1542,($ / Picul),NA,Slaughterhouses
2016-01-03,Livestock / Poultry,Live cattle,4229,($ / Picul),NA,Ng Fung Hong
2016-01-03,Livestock / Poultry,Live chicken,41.5,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-03,Marine fish,Golden thread,52,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Horse head,38,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Yellow croaker,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Big eyes,52,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Scads,15,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Breams,53,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Hairtail,38,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Mackerel,48,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Croakers,16,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Marine fish,Filefish,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-03,Freshwater fish,Grass carp,16.2,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-03,Freshwater fish,Big head,16.2,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-03,Freshwater fish,Mud carp,18.5,($ / Catty),NA,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-03,Vegetables,Flowering Cabbage,5.4,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,White Cabbage,3.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,Chinese Lettuce,4.4,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,Chrysanthemum Garland,6.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,Chinese Kale,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,European Celery,8.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-03,Vegetables,Potato,3.9,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
